order_id,creation_datetime,cod_value_sgd,granular_status,rts_flag,order_type,shipper_id,shipper_reference_number,delivery_type,pickup_hub_id,pickup_datetime,pickup_attempts,pickup_driver_id,description,from_city,to_city,dest_province_code,delivery_success_hub_id,delivery_success_datetime,rts_trigger_datetime,delivery_attempts,first_valid_delivery_attempt_datetime,first_valid_delivery_attempt_status,second_valid_delivery_attempt_datetime,second_valid_delivery_attempt_status,third_valid_delivery_attempt_datetime,third_valid_delivery_attempt_status,last_valid_delivery_attempt_datetime,last_valid_delivery_attempt_status,first_failure_reason,second_failure_reason,third_failure_reason,last_failure_reason,delivery_driver_id,items,weight,width,height,length,parcel_size,created_month,row_num,total_rows_per_month
205753708,2022-02-14T14:53:09,,Completed,0,Normal,5400060,VN224783122167R,3 Days - Day/Night,1232,2022-02-15T11:39:12,1,1384949,,,Quận Hà Đông,HN,103611,2022-02-17T18:04:17,,1,2022-02-17T18:04:17,Success,,,,,2022-02-17T18:04:17,Success,,,,,1415210,"[{""item_name"":""FREESHIP ĐƠN 50K_ Phấn tắm khô Fay khử mùi cho chó mèo 120g"",""item_quantity"":1},{""item_name"":""[ RẺ VÔ ĐỊCH ] Giường ngủ gỗ cao cấp dành cho thú cưng"",""item_quantity"":1},{""item_name"":""[ Rẻ Vô địch ] Bảng tên đính đá dành cho thú cưng cao cấp"",""item_quantity"":1},{""item_name"":""[ FREESHIP ] Gậy tét đít huấn luyện chó mèo cao cấp đa dạng màu sắc"",""item_quantity"":1},{""item_name"":""[ new ] Áo giữ nhiệt cho chó mèo nỉ bông có mũ kiểu dáng động vật dễ thương cao cấp"",""item_quantity"":1},{""item_name"":""[ HOT ] Quần áo giữ ấm cho chó mèo thu đông cosplay thủy thủ y tá cao cấp"",""item_quantity"":1},{""item_name"":""[ TẾT 2022 ] Quần áo tết giữ nhiệt cho chó mèo kèm bao lì xì may mắn dễ thương"",""item_quantity"":1},{""item_name"":""[ HOT 2022 ] Quần áo nỉ bông cho thú cưng giữ ấm kèm mũ và túi đựng khóa kéo cao cấp"",""item_quantity"":1}]",0.92,0.0,0.0,0.0,s,2022-02,1,19461
207836007,2022-02-23T01:36:01,,Completed,0,Normal,372455,338482409599836,3 Days - Anytime,12,2022-04-26T11:36:49,,,,,,DAN,317,2022-04-28T09:37:17,,1,2022-04-28T09:37:17,Success,,,,,2022-04-28T09:37:17,Success,,,,,1458411,Đầm Mùa Thu Phong Cách Cung Điện Cổ Điển Văn Học Và Nghệ Thuật 2021 Chân Váy Màu Đen Pháp Dài Tay Thích Hợp Phong Cách Mùa Đông Cho Nữ (1646121924_VNAMZ-7249986781) x1 (540600VND),0.45,30.0,6.0,40.0,s,2022-02,2,19461
207041015,2022-02-19T09:05:02,1.32,Completed,0,Normal,1590846,339420775989656,3 Days - Anytime,15,2022-02-19T19:41:09,1,,Kiện hàng chưa đóng gói hoàn thiện,,,YEB,1018,2022-02-21T16:52:39,,1,2022-02-21T16:52:39,Success,,,,,2022-02-21T16:52:39,Success,,,,,1284217,"DÂY THẮT LƯNG QUÂN-NHU NAM , NỮ , DÂY NỊT , DÂY LƯNG (1363527896_VNAMZ-5638641160) x1 (25750VND)",0.25,10.0,4.0,10.0,s,2022-02,3,19461
205361490,2022-02-12T17:20:09,20.03,Completed,0,Normal,3925062,DH583941,3 Days - Anytime,1210,2022-02-12T18:13:31,1,1308187,,,,NGA,1081,2022-02-16T12:25:08,,1,2022-02-16T12:25:08,Success,,,,,2022-02-16T12:25:08,Success,,,,,1231667,,0.5,15.0,10.0,18.0,s,2022-02,4,19461
205940207,2022-02-15T09:50:50,5.69,Completed,0,Normal,6399967,338398188275375,3 Days - Anytime,507,2022-02-15T15:59:21,1,1304093,,,,VIL,1152,2022-02-17T11:49:27,,1,2022-02-17T11:49:27,Success,,,,,2022-02-17T11:49:27,Success,,,,,1430500,Combo 10 chiếc Cò Bóp Phíp Thủy Tinh (1453820766_VNAMZ-7629222899) x1 (75000VND),0.15,6.0,6.0,10.0,s,2022-02,5,19461
206409308,2022-02-16T15:09:25,,Completed,0,Normal,4072698,VN225444091516V,3 Days - Day/Night,1203,2022-02-17T17:25:10,1,1308159,,,Quận Thanh Xuân,HN,855,2022-02-22T13:51:58,,1,2022-02-22T13:51:58,Success,,,,,2022-02-22T13:51:58,Success,,,,,1314094,"[{""item_name"":""[Mã 152FASHIONSALE giảm 12% đơn 99K] Áo thun tay lỡ Unisex Yinxx, áo phông form rộng ATL206"",""item_quantity"":1},{""item_name"":""[Mã 152FASHIONSALE giảm 12% đơn 99K] Áo thun tay lỡ Yinxx Unisex, áo phông form rộng ATL951"",""item_quantity"":1}]",0.45,0.0,0.0,0.0,s,2022-02,6,19461
206145939,2022-02-15T21:12:25,,Completed,0,Normal,5794305,VN223627415702Y,3 Days - Day/Night,104,2022-02-16T19:10:44,1,1162157,,,Quận Ba Đình,HN,847,2022-02-19T11:57:16,,1,2022-02-19T11:57:16,Success,,,,,2022-02-19T11:57:16,Success,,,,,1116134,"[{""item_name"":""(ẢNH THẬT-Hàng thật 1) Áo mưa măng tô nam nữ 2 lớp chống thấm cao cấp"",""item_quantity"":1}]",0.8,5.0,3.0,12.0,s,2022-02,7,19461
208167162,2022-02-24T12:21:08,,Completed,0,Normal,7130704,338894428676293,3 Days - Anytime,15,2022-02-25T05:52:48,1,1077298,,,,HD,1088,2022-02-26T15:33:07,,1,2022-02-26T15:33:07,Success,,,,,2022-02-26T15:33:07,Success,,,,,1384875,phao câu lục xa bờ cỡ 28 (1605277067_VNAMZ-6906001125) x1 (180000VND),0.2,6.0,6.0,36.0,s,2022-02,8,19461
208210183,2022-02-24T15:04:38,,Completed,0,Normal,7227148,,3 Days - Anytime,15,2022-02-25T13:16:44,,,,,,BN,1009,2022-02-26T19:55:56,,1,2022-02-26T19:55:56,Success,,,,,2022-02-26T19:55:56,Success,,,,,1314960,,2.0,,,,s,2022-02,9,19461
208633454,2022-02-26T09:41:07,,Completed,0,Normal,5977607,VN229055523548S,3 Days - Day/Night,863,2022-02-26T15:33:30,1,1300645,,,Quận Cầu Giấy,HN,863,2022-02-28T09:56:48,,1,2022-02-28T09:56:48,Success,,,,,2022-02-28T09:56:48,Success,,,,,1430606,"[{""item_name"":""Khẩu Trang 4D DC MASK DELUXE KF94 Sun Pharma Cao Cấp Lọc Bụi Mịn, Kháng Khuẩn 4 Lớp - Gói 5 Chiếc"",""item_quantity"":1}]",0.3,0.0,0.0,0.0,s,2022-02,10,19461
