date,day,comments,working_day,next_working_day_0,next_working_day_1,next_working_day_2,next_working_day_3,next_working_day_4,next_working_day_5
2022-01-01,Saturday,New Year's Day,0,2022-01-01,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07
2022-01-02,Sunday,,0,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07
2022-01-03,Monday,,1,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08
2022-01-04,Tuesday,,1,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-10
2022-01-05,Wednesday,,1,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-10,2022-01-11
2022-01-06,Thursday,,1,2022-01-06,2022-01-07,2022-01-08,2022-01-10,2022-01-11,2022-01-12
2022-01-07,Friday,,1,2022-01-07,2022-01-08,2022-01-10,2022-01-11,2022-01-12,2022-01-13
2022-01-08,Saturday,,1,2022-01-08,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14
2022-01-09,Sunday,,0,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14
2022-01-10,Monday,,1,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15
2022-01-11,Tuesday,,1,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-17
2022-01-12,Wednesday,,1,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-17,2022-01-18
2022-01-13,Thursday,,1,2022-01-13,2022-01-14,2022-01-15,2022-01-17,2022-01-18,2022-01-19
2022-01-14,Friday,,1,2022-01-14,2022-01-15,2022-01-17,2022-01-18,2022-01-19,2022-01-20
2022-01-15,Saturday,,1,2022-01-15,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21
2022-01-16,Sunday,,0,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21
2022-01-17,Monday,,1,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22
2022-01-18,Tuesday,,1,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-24
2022-01-19,Wednesday,,1,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-24,2022-01-25
2022-01-20,Thursday,,1,2022-01-20,2022-01-21,2022-01-22,2022-01-24,2022-01-25,2022-01-26
2022-01-21,Friday,,1,2022-01-21,2022-01-22,2022-01-24,2022-01-25,2022-01-26,2022-01-27
2022-01-22,Saturday,,1,2022-01-22,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28
2022-01-23,Sunday,,0,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28
2022-01-24,Monday,,1,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29
2022-01-25,Tuesday,,1,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-02-07
2022-01-26,Wednesday,,1,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-02-07,2022-02-08
2022-01-27,Thursday,,1,2022-01-27,2022-01-28,2022-01-29,2022-02-07,2022-02-08,2022-02-09
2022-01-28,Friday,,1,2022-01-28,2022-01-29,2022-02-07,2022-02-08,2022-02-09,2022-02-10
2022-01-29,Saturday,,1,2022-01-29,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11
2022-01-30,Sunday,,0,2022-01-30,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11
2022-01-31,Monday,Lunar New Year Eve,0,2022-01-31,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11
2022-02-01,Tuesday,Lunar New Year,0,2022-02-01,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11
2022-02-02,Wednesday,Lunar New Year,0,2022-02-02,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11
2022-02-03,Thursday,Lunar New Year,0,2022-02-03,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11
2022-02-04,Friday,Lunar New Year,0,2022-02-04,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11
2022-02-05,Saturday,Lunar New Year,0,2022-02-05,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11
2022-02-06,Sunday,,0,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11
2022-02-07,Monday,,1,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12
2022-02-08,Tuesday,,1,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-14
2022-02-09,Wednesday,,1,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-14,2022-02-15
2022-02-10,Thursday,,1,2022-02-10,2022-02-11,2022-02-12,2022-02-14,2022-02-15,2022-02-16
2022-02-11,Friday,,1,2022-02-11,2022-02-12,2022-02-14,2022-02-15,2022-02-16,2022-02-17
2022-02-12,Saturday,,1,2022-02-12,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18
2022-02-13,Sunday,,0,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18
2022-02-14,Monday,,1,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19
